id,nombre,edad
1,nombre_1,42
2,nombre_2,32
3,nombre_3,20
4,nombre_4,12
5,nombre_5,25
6,nombre_6,21
7,nombre_7,11
8,nombre_8,22
9,nombre_9,8
10,nombre_10,37
11,nombre_11,43
12,nombre_12,22
13,nombre_13,37
14,nombre_14,7
15,nombre_15,19
16,nombre_16,12
17,nombre_17,48
18,nombre_18,22
19,nombre_19,26
20,nombre_20,19
21,nombre_21,36
22,nombre_22,9
23,nombre_23,14
24,nombre_24,34
25,nombre_25,16
26,nombre_26,17
27,nombre_27,38
28,nombre_28,26
29,nombre_29,39
30,nombre_30,48
31,nombre_31,37
32,nombre_32,16
33,nombre_33,25
34,nombre_34,39
35,nombre_35,41
36,nombre_36,48
37,nombre_37,41
38,nombre_38,30
39,nombre_39,43
40,nombre_40,16
41,nombre_41,27
42,nombre_42,11
43,nombre_43,24
44,nombre_44,8
45,nombre_45,25
46,nombre_46,21
47,nombre_47,8
48,nombre_48,40
49,nombre_49,44
50,nombre_50,27
51,nombre_51,23
52,nombre_52,34
53,nombre_53,33
54,nombre_54,42
55,nombre_55,45
56,nombre_56,34
57,nombre_57,39
58,nombre_58,13
59,nombre_59,48
60,nombre_60,25
61,nombre_61,9
62,nombre_62,45
63,nombre_63,43
64,nombre_64,11
65,nombre_65,32
66,nombre_66,41
67,nombre_67,21
68,nombre_68,39
69,nombre_69,12
70,nombre_70,18
71,nombre_71,28
72,nombre_72,14
73,nombre_73,29
74,nombre_74,39
75,nombre_75,30
76,nombre_76,34
77,nombre_77,8
78,nombre_78,29
79,nombre_79,8
80,nombre_80,38
81,nombre_81,9
82,nombre_82,36
83,nombre_83,18
84,nombre_84,34
85,nombre_85,12
86,nombre_86,15
87,nombre_87,24
88,nombre_88,36
89,nombre_89,32
90,nombre_90,37
91,nombre_91,35
92,nombre_92,10
93,nombre_93,28
94,nombre_94,40
95,nombre_95,8
96,nombre_96,26
97,nombre_97,28
98,nombre_98,42
99,nombre_99,40
100,nombre_100,22
101,nombre_101,39
102,nombre_102,9
103,nombre_103,15
104,nombre_104,21
105,nombre_105,26
106,nombre_106,10
107,nombre_107,17
108,nombre_108,28
109,nombre_109,24
110,nombre_110,27
111,nombre_111,8
